原页码,菌株名称,DSM编号,提取的编号,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
2153,Fusarium oxysporum DSM 113706,DSM 113706,DSM 113706,,,,,,
2153,Fusarium oxysporum DSM 113707,DSM 113707,DSM 113707,,,,,,
2153,Clonostachys rosea DSM 113708,DSM 113708,DSM 113708,,,,,,
2153,Fusarium graminearum DSM 113709,DSM 113709,DSM 113709,,,,,,
2153,Fusarium graminearum DSM 113710,DSM 113710,DSM 113710,,,,,,
2153,Fusarium graminearum DSM 113711,DSM 113711,DSM 113711,,,,,,
2153,Penicillium expansum DSM 113712,DSM 113712,DSM 113712,,,,,,
2153,Penicillium expansum DSM 113713,DSM 113713,DSM 113713,,,,,,
2153,Penicillium expansum DSM 113714,DSM 113714,DSM 113714,,,,,,
2153,Novosphingobium sp. DSM 113718,DSM 113718,DSM 113718,,,,,,
2154,Devosia sp. DSM 113719,DSM 113719,DSM 113719,,,,,,
2154,Bosea sp. DSM 113720,DSM 113720,DSM 113720,,,,,,
2154,Staphylococcus aureus DSM 113721,DSM 113721,DSM 113721,GCF_000562675.1,成功,DSM_Staphylococcus aureus DSM 113721_WGS_GCF_000562675.1.fasta,,,
2154,Shewanella sp. DSM 113851,DSM 113851,DSM 113851,,,,,,
2154,Phyllobacterium lublinensis DSM 113830,DSM 113830,DSM 113830,GCF_020164435.1,成功,DSM_Phyllobacterium lublinensis DSM 113830_WGS_GCF_020164435.1.fasta,,,
2154,Rhizobium acaciae DSM 113913,DSM 113913,DSM 113913,GCF_052135615.1,成功,DSM_Rhizobium acaciae DSM 113913_WGS_GCF_052135615.1.fasta,OP782379,成功,DSM_Rhizobium acaciae DSM 113913_16S_OP782379.fasta
2154,Pantoea septica DSM 113917,DSM 113917,DSM 113917,,,,,,
2154,Bacillus sp. DSM 113767,DSM 113767,DSM 113767,,,,,,
2154,Svornostia abyssi DSM 113746,DSM 113746,CCM 9300;DSM 113746,GCF_024666565.1,成功,CCM_Svornostia abyssi DSM 113746_WGS_GCF_024666565.1.fasta,NR_197672,成功,CCM_Svornostia abyssi DSM 113746_16S_NR_197672.fasta
2154,Cyanocohniella  rudolphia DSM 113757,DSM 113757,DSM 113757,,,,NR_176566,成功,DSM_Cyanocohniella  rudolphia DSM 113757_16S_NR_176566.fasta
2154,Bacillus sp. DSM 113758,DSM 113758,DSM 113758,,,,,,
2154,Bacillus sp. DSM 113759,DSM 113759,DSM 113759,,,,,,
