原页码,菌株名称,DSM编号,提取的编号,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
1,Bacillus sp. DSM 14,DSM 14,DSM 14,GCF_050433465.1,成功,DSM_Bacillus sp. DSM 14_WGS_GCF_050433465.1.fasta,,,
1,Bacillus licheniformis DSM 15,DSM 15,DSM 15,GCF_046358965.1,成功,DSM_Bacillus licheniformis DSM 15_WGS_GCF_046358965.1.fasta,,,
2,Paenibacillus sp. DSM 34,DSM 34,DSM 34;ATCC 14176,GCF_051967555.1,成功,DSM_Paenibacillus sp. DSM 34_WGS_GCF_051967555.1.fasta,AJ345022,成功,DSM_Paenibacillus sp. DSM 34_16S_AJ345022.fasta
2,Comamonas testosteroni DSM 38,DSM 38,ATCC 17454;DSM 38,GCA_031996395.1,成功,DSM_Comamonas testosteroni DSM 38_WGS_GCA_031996395.1.fasta,,,
2,Agromyces mediolanus DSM 40,DSM 40,ATCC 13930;DSM 40,GCF_042428935.1,成功,DSM_Agromyces mediolanus DSM 40_WGS_GCF_042428935.1.fasta,,,
2,Acidovorax facilis DSM 41,DSM 41,DSM 41,GCF_050268665.1,成功,DSM_Acidovorax facilis DSM 41_WGS_GCF_050268665.1.fasta,,,
2,Serratia marcescens DSM 48,DSM 48,DSM 48;CCM 846,GCF_047305685.1,成功,DSM_Serratia marcescens DSM 48_WGS_GCF_047305685.1.fasta,,,
2,Serratia plymuthica DSM 49,DSM 49,ATCC 7462;CCM 581;DSM 49,GCF_016027115.1,成功,DSM_Serratia plymuthica DSM 49_WGS_GCF_016027115.1.fasta,AF286871,成功,DSM_Serratia plymuthica DSM 49_16S_AF286871.fasta
2,Clostridium beijerinckii DSM 53,DSM 53,ATCC 14949;DSM 53;NCIMB 9503,GCF_002006205.1,成功,DSM_Clostridium beijerinckii DSM 53_WGS_GCF_002006205.1.fasta,,,
3,Metabacillus fastidiosus DSM 72,DSM 72,DSM 72,,,,,,
3,Metabacillus fastidiosus DSM 73,DSM 73,DSM 73,,,,,,
3,Spirosoma linguale DSM 75,DSM 75,DSM 75,GCA_943327065.2,成功,DSM_Spirosoma linguale DSM 75_WGS_GCA_943327065.2.fasta,,,
3,Metabacillus fastidiosus DSM 76,DSM 76,DSM 76,,,,,,
3,Metabacillus fastidiosus DSM 77,DSM 77,DSM 77,GCF_004801455.1,成功,DSM_Metabacillus fastidiosus DSM 77_WGS_GCF_004801455.1.fasta,,,
3,Metabacillus fastidiosus DSM 78,DSM 78,DSM 78,,,,,,
3,Metabacillus fastidiosus DSM 82,DSM 82,DSM 82,,,,,,
3,Metabacillus fastidiosus DSM 83,DSM 83,DSM 83,,,,,,
3,Pseudomonas putida DSM 84,DSM 84,DSM 84,GCF_977007915.1,成功,DSM_Pseudomonas putida DSM 84_WGS_GCF_977007915.1.fasta,,,
3,Azotobacter vinelandii DSM 85,DSM 85,DSM 85,GCF_002220155.1,成功,DSM_Azotobacter vinelandii DSM 85_WGS_GCF_002220155.1.fasta,,,
3,Azotobacter vinelandii DSM 86,DSM 86,DSM 86,,,,,,
3,Azomonas agilis DSM 89,DSM 89,DSM 89;ATCC 12838,,,,,,
3,Priestia megaterium DSM 90,DSM 90,DSM 90,GCF_053555955.1,成功,DSM_Priestia megaterium DSM 90_WGS_GCF_053555955.1.fasta,,,
4,Andreesenella formicoacetica DSM 94,DSM 94,DSM 94;ATCC 27077,,,,,,
4,Andreesenella formicoacetica DSM 95,DSM 95,DSM 95,,,,,,
4,Andreesenella formicoacetica DSM 96,DSM 96,DSM 96,,,,,,
4,Andreesenella formicoacetica DSM 97,DSM 97,DSM 97,,,,,,
4,Andreesenella formicoacetica DSM 98,DSM 98,ATCC 27078;DSM 98,,,,,,
4,Andreesenella formicoacetica DSM 99,DSM 99,DSM 99,,,,,,
4,Andreesenella formicoacetica DSM 100,DSM 100,DSM 100,,,,,,
4,Rhodospirillum rubrum DSM 107,DSM 107,DSM 107,GCF_016583925.1,成功,DSM_Rhodospirillum rubrum DSM 107_WGS_GCF_016583925.1.fasta,,,
4,Rhodocyclus tenuis DSM 111,DSM 111,DSM 111,GCF_009646355.1,成功,DSM_Rhodocyclus tenuis DSM 111_WGS_GCF_009646355.1.fasta,,,
4,Rhodocyclus tenuis DSM 112,DSM 112,DSM 112,GCF_011881425.1,成功,DSM_Rhodocyclus tenuis DSM 112_WGS_GCF_011881425.1.fasta,,,
4,Magnetospirillum fulvum DSM 114,DSM 114,DSM 114,,,,,,
4,Magnetospirillum fulvum DSM 115,DSM 115,DSM 115,,,,,,
4,Magnetospirillum fulvum DSM 116,DSM 116,DSM 116,,,,,,
4,Magnetospirillum fulvum DSM 117,DSM 117,DSM 117,,,,,,
5,Pararhodospirillum photometricum DSM 118,DSM 118,DSM 118,,,,,,
5,Phaeospirillum sp. DSM 119,DSM 119,DSM 119,,,,,,
5,Phaeospirillum sp. DSM 121,DSM 121,DSM 121,,,,,,
5,Rhodopseudomonas palustris DSM 126,DSM 126,DSM 126,GCF_002937155.1,成功,DSM_Rhodopseudomonas palustris DSM 126_WGS_GCF_002937155.1.fasta,,,
5,Rhodopseudomonas palustris DSM 127,DSM 127,DSM 127,GCF_003547145.1,成功,DSM_Rhodopseudomonas palustris DSM 127_WGS_GCF_003547145.1.fasta,,,
5,Rhodopseudomonas parapalustris DSM 130,DSM 130,DSM 130,,,,,,
5,Rhodopseudomonas palustris DSM 131,DSM 131,DSM 131,,,,PQ580370,成功,DSM_Rhodopseudomonas palustris DSM 131_16S_PQ580370.fasta
5,Blastochloris viridis DSM 134,DSM 134,DSM 134,GCA_964507385.1,成功,DSM_Blastochloris viridis DSM 134_WGS_GCA_964507385.1.fasta,,,
5,Blastochloris sulfoviridis DSM 136,DSM 136,DSM 136,,,,,,
5,Rhodoblastus acidophilus DSM 145,DSM 145,DSM 145,GCA_027431255.1,成功,DSM_Rhodoblastus acidophilus DSM 145_WGS_GCA_027431255.1.fasta,,,
5,Rubrivivax gelatinosus DSM 149,DSM 149,DSM 149,GCF_016583725.1,成功,DSM_Rubrivivax gelatinosus DSM 149_WGS_GCF_016583725.1.fasta,HQ877093,成功,DSM_Rubrivivax gelatinosus DSM 149_16S_HQ877093.fasta
5,Rubrivivax gelatinosus DSM 151,DSM 151,DSM 151,GCF_016583785.1,成功,DSM_Rubrivivax gelatinosus DSM 151_WGS_GCF_016583785.1.fasta,,,
5,Rhodobacter capsulatus DSM 152,DSM 152,DSM 152,,,,MW237713,成功,DSM_Rhodobacter capsulatus DSM 152_16S_MW237713.fasta
5,Rhodobacter capsulatus DSM 155,DSM 155,DSM 155,,,,,,
6,Rhodobacter capsulatus DSM 156,DSM 156,DSM 156,GCF_020023995.1,成功,DSM_Rhodobacter capsulatus DSM 156_WGS_GCF_020023995.1.fasta,,,
6,Rhodobacter capsulatus DSM 157,DSM 157,DSM 157,GCA_041624015.1,成功,DSM_Rhodobacter capsulatus DSM 157_WGS_GCA_041624015.1.fasta,,,
6,Cereibacter sphaeroides DSM 159,DSM 159,DSM 159,,,,,,
6,Cereibacter sphaeroides DSM 160,DSM 160,DSM 160,,,,,,
6,Rhodomicrobium vannielii DSM 166,DSM 166,DSM 166,GCF_030545245.1,成功,DSM_Rhodomicrobium vannielii DSM 166_WGS_GCF_030545245.1.fasta,,,
6,Rhodocyclus purpureus DSM 168,DSM 168,NCIMB 13339;DSM 168,GCF_016653115.1,成功,DSM_Rhodocyclus purpureus DSM 168_WGS_GCF_016653115.1.fasta,NR_044679,成功,DSM_Rhodocyclus purpureus DSM 168_16S_NR_044679.fasta
6,Allochromatium warmingii DSM 174,DSM 174,DSM 174,,,,,,
6,Marichromatium gracile DSM 175,DSM 175,DSM 175,,,,,,
6,Isochromatium buderi DSM 177,DSM 177,ATCC 25583;DSM 177,,,,,,
6,Thiorhodococcus sp. DSM 182,DSM 182,DSM 182,,,,,,
6,Allochromatium vinosum DSM 183,DSM 183,DSM 183,,,,FJ812040,成功,DSM_Allochromatium vinosum DSM 183_16S_FJ812040.fasta
6,Allochromatium vinosum DSM 185,DSM 185,DSM 185,,,,,,
6,Allochromatium vinosum DSM 186,DSM 186,DSM 186,,,,,,
6,Allochromatium vinosum DSM 189,DSM 189,DSM 189,,,,,,
7,Allochromatium vinosum DSM 195,DSM 195,DSM 195,,,,,,
7,Allochromatium vinosum DSM 196,DSM 196,DSM 196,GCF_009720725.1,成功,DSM_Allochromatium vinosum DSM 196_WGS_GCF_009720725.1.fasta,,,
7,Allochromatium sp. DSM 199,DSM 199,DSM 199,,,,,,
7,Thiocystis violascens DSM 201,DSM 201,DSM 201,,,,,,
7,Thiocystis violascens DSM 202,DSM 202,DSM 202,,,,,,
7,Marichromatium gracile DSM 203,DSM 203,DSM 203,GCF_004343155.1,成功,DSM_Marichromatium gracile DSM 203_WGS_GCF_004343155.1.fasta,NR_116468,成功,DSM_Marichromatium gracile DSM 203_16S_NR_116468.fasta
7,Marichromatium gracile DSM 204,DSM 204,DSM 204,,,,,,
7,Thiorhodococcus sp. DSM 212,DSM 212,DSM 212,,,,,,
7,Thiorhodococcus sp. DSM 213,DSM 213,DSM 213,,,,,,
7,Allochromatium sp. DSM 214,DSM 214,DSM 214,,,,,,
7,Thiocapsa roseopersicina DSM 221,DSM 221,DSM 221,,,,,,
7,Lamprocystis roseopersicina DSM 229,DSM 229,DSM 229,,,,NR_025288,成功,DSM_Lamprocystis roseopersicina DSM 229_16S_NR_025288.fasta
7,Thiodictyon elegans DSM 232,DSM 232,DSM 232,,,,NR_044363,成功,DSM_Thiodictyon elegans DSM 232_16S_NR_044363.fasta
8,Thiodictyon bacillosum DSM 234,DSM 234,DSM 234,,,,NR_044364,成功,DSM_Thiodictyon bacillosum DSM 234_16S_NR_044364.fasta
8,Thiocapsa pendens DSM 236,DSM 236,DSM 236,,,,NR_114686,成功,DSM_Thiocapsa pendens DSM 236_16S_NR_114686.fasta
8,Ectothiorhodospira mobilis DSM 238,DSM 238,DSM 238,,,,,,
8,Ectothiorhodospira mobilis DSM 240,DSM 240,DSM 240,,,,,,
8,Ectothiorhodospira marina DSM 242,DSM 242,DSM 242,,,,,,
8,Halorhodospira halophila DSM 244,DSM 244,DSM 244,GCF_000015585.1,成功,DSM_Halorhodospira halophila DSM 244_WGS_GCF_000015585.1.fasta,NR_074856,成功,DSM_Halorhodospira halophila DSM 244_16S_NR_074856.fasta
8,Chlorobium limicola DSM 248,DSM 248,DSM 248,,,,,,
8,Chlorobaculum thiosulfatiphilum DSM 249,DSM 249,NBRC 106566;DSM 249,GCF_006265165.1,成功,DSM_Chlorobaculum thiosulfatiphilum DSM 249_WGS_GCF_006265165.1.fasta,MW237718,成功,DSM_Chlorobaculum thiosulfatiphilum DSM 249_16S_MW237718.fasta
8,Chlorobaculum sp. DSM 254,DSM 254,DSM 254,,,,,,
8,Chlorobaculum sp. DSM 257,DSM 257,DSM 257,,,,,,
8,Chlorobium limicola DSM 258,DSM 258,DSM 258,,,,,,
8,Prosthecochloris vibrioformis DSM 260,DSM 260,DSM 260,GCF_006265245.1,成功,DSM_Prosthecochloris vibrioformis DSM 260_WGS_GCF_006265245.1.fasta,KX417801,成功,DSM_Prosthecochloris vibrioformis DSM 260_16S_KX417801.fasta
8,Chlorobium phaeovibrioides DSM 261,DSM 261,DSM 261,,,,AJ290828,成功,DSM_Chlorobium phaeovibrioides DSM 261_16S_AJ290828.fasta
8,Chlorobium luteolum DSM 262,DSM 262,DSM 262,,,,,,
9,Chlorobium phaeovibrioides DSM 265,DSM 265,DSM 265,,,,AJ290829,成功,DSM_Chlorobium phaeovibrioides DSM 265_16S_AJ290829.fasta
9,Chlorobium phaeovibrioides DSM 267,DSM 267,DSM 267,,,,,,
9,Chlorobium phaeovibrioides DSM 269,DSM 269,DSM 269,GCF_008586845.1,成功,DSM_Chlorobium phaeovibrioides DSM 269_WGS_GCF_008586845.1.fasta,MH509941,成功,DSM_Chlorobium phaeovibrioides DSM 269_16S_MH509941.fasta
9,Chlorobium phaeovibrioides DSM 270,DSM 270,DSM 270,,,,AJ290834,成功,DSM_Chlorobium phaeovibrioides DSM 270_16S_AJ290834.fasta
9,Chlorobium luteolum DSM 273,DSM 273,DSM 273,,,,,,
9,Sporosarcina pasteurii DSM 276,DSM 276,DSM 276,,,,,,
9,Metabacillus fastidiosus DSM 277,DSM 277,DSM 277,,,,,,
9,Metabacillus fastidiosus DSM 278,DSM 278,DSM 278,,,,,,
9,Azotobacter vinelandii DSM 279,DSM 279,DSM 279,GCF_900119555.1,成功,DSM_Azotobacter vinelandii DSM 279_WGS_GCF_900119555.1.fasta,,,
9,Metabacillus fastidiosus DSM 280,DSM 280,DSM 280,,,,,,
9,Azotobacter chroococcum DSM 281,DSM 281,DSM 281,,,,,,
9,Azotobacter beijerinckii DSM 282,DSM 282,DSM 282,GCF_900112015.1,成功,DSM_Azotobacter beijerinckii DSM 282_WGS_GCF_900112015.1.fasta,,,
9,Metabacillus fastidiosus DSM 283,DSM 283,DSM 283,,,,,,
9,Pseudomonas aeruginosa DSM 288,DSM 288,DSM 288,GCF_900167195.1,成功,DSM_Pseudomonas aeruginosa DSM 288_WGS_GCF_900167195.1.fasta,,,
9,Paenibacillus polymyxa DSM 292,DSM 292,DSM 292;CCM 1609,GCF_900406265.2,成功,DSM_Paenibacillus polymyxa DSM 292_WGS_GCF_900406265.2.fasta,OR506151,成功,DSM_Paenibacillus polymyxa DSM 292_16S_OR506151.fasta
10,Pseudomonas putida DSM 295,DSM 295,DSM 295,GCF_048568395.1,成功,DSM_Pseudomonas putida DSM 295_WGS_GCF_048568395.1.fasta,,,
10,Geobacillus stearothermophilus DSM 297,DSM 297,CCM 2183;DSM 297;ATCC 12976,GCF_003667675.1,成功,DSM_Geobacillus stearothermophilus DSM 297_WGS_GCF_003667675.1.fasta,,,
10,Brevibacillus borstelensis DSM 298,DSM 298,CCM 1613;DSM 298,,,,,,
10,Bacillus mycoides DSM 299,DSM 299,DSM 299,GCF_000831645.1,成功,DSM_Bacillus mycoides DSM 299_WGS_GCF_000831645.1.fasta,,,
10,Sarcina ventriculi DSM 300,DSM 300,ATCC 29069;DSM 300,,,,,,
10,Bacillus mycoides DSM 303,DSM 303,DSM 303,GCF_048013385.1,成功,DSM_Bacillus mycoides DSM 303_WGS_GCF_048013385.1.fasta,,,
10,Bacillus mycoides DSM 307,DSM 307,DSM 307,GCA_918181805.1,成功,DSM_Bacillus mycoides DSM 307_WGS_GCA_918181805.1.fasta,,,
10,Escherichia coli DSM 308,DSM 308,DSM 308,GCA_053270275.1,成功,DSM_Escherichia coli DSM 308_WGS_GCA_053270275.1.fasta,,,
10,Bacillus mycoides DSM 309,DSM 309,DSM 309,GCF_003641165.1,成功,DSM_Bacillus mycoides DSM 309_WGS_GCF_003641165.1.fasta,,,
10,Rhodococcus erythropolis DSM 312,DSM 312,ATCC 15591;DSM 312,GCF_001894945.1,成功,ATCC_Rhodococcus erythropolis DSM 312_WGS_GCF_001894945.1.fasta,,,
10,Rhodococcus erythropolis DSM 313,DSM 313,ATCC 19140;DSM 313,GCF_047782425.1,成功,DSM_Rhodococcus erythropolis DSM 313_WGS_GCF_047782425.1.fasta,,,
10,Sporosarcina ureae DSM 317,DSM 317,DSM 317;CCM 858,,,,,,
10,Priestia megaterium DSM 321,DSM 321,DSM 321,,,,,,
10,Priestia megaterium DSM 322,DSM 322,DSM 322,GCF_036224205.1,成功,DSM_Priestia megaterium DSM 322_WGS_GCF_036224205.1.fasta,,,
10,Sporosarcina pasteurii DSM 323,DSM 323,DSM 323,GCF_003351785.1,成功,DSM_Sporosarcina pasteurii DSM 323_WGS_GCF_003351785.1.fasta,,,
11,Azotobacter chroococcum DSM 328,DSM 328,DSM 328,,,,,,
11,Azotobacter vinelandii DSM 332,DSM 332,DSM 332,,,,,,
11,Priestia megaterium DSM 333,DSM 333,DSM 333,GCF_040539045.1,成功,DSM_Priestia megaterium DSM 333_WGS_GCF_040539045.1.fasta,,,
11,Ancylobacter aquaticus DSM 334,DSM 334,ATCC 27068;DSM 334,,,,,,
11,Priestia megaterium DSM 337,DSM 337,DSM 337,,,,,,
11,Priestia megaterium DSM 339,DSM 339,DSM 339,,,,,,
11,Clavibacter insidiosus DSM 340,DSM 340,DSM 340,GCF_052046735.1,成功,DSM_Clavibacter insidiosus DSM 340_WGS_GCF_052046735.1.fasta,,,
11,Pseudarthrobacter polychromogenes DSM 342,DSM 342,DSM 342,,,,,,
11,Priestia megaterium DSM 344,DSM 344,DSM 344,GCF_036964985.1,成功,DSM_Priestia megaterium DSM 344_WGS_GCF_036964985.1.fasta,,,
11,Bacillus thuringiensis DSM 350,DSM 350,DSM 350,GCF_001436945.1,成功,DSM_Bacillus thuringiensis DSM 350_WGS_GCF_001436945.1.fasta,,,
12,Bacillus cereus DSM 351,DSM 351,DSM 351,GCF_025908215.1,成功,DSM_Bacillus cereus DSM 351_WGS_GCF_025908215.1.fasta,,,
12,Bacillus sp. DSM 352,DSM 352,DSM 352,GCF_039619455.1,成功,DSM_Bacillus sp. DSM 352_WGS_GCF_039619455.1.fasta,,,
12,Paenibacillus polymyxa DSM 356,DSM 356,ATCC 8523;CCM 1465;DSM 356,,,,,,
12,Paenibacillus macerans DSM 357,DSM 357,DSM 357;CCM 1610,GCF_038002285.1,成功,DSM_Paenibacillus macerans DSM 357_WGS_GCF_038002285.1.fasta,,,
12,Cytobacillus firmus DSM 359,DSM 359,CCM 2212;ATCC 8247;DSM 359,,,,,,
12,Bacillus cereus DSM 360,DSM 360,DSM 360,GCF_002278095.1,成功,DSM_Bacillus cereus DSM 360_WGS_GCF_002278095.1.fasta,,,
12,Rhodococcus rhodochrous DSM 363,DSM 363,ATCC 4276;DSM 363,GCA_044390775.1,成功,DSM_Rhodococcus rhodochrous DSM 363_WGS_GCA_044390775.1.fasta,,,
12,Paenibacillus polymyxa DSM 365,DSM 365,DSM 365,GCF_035323085.1,成功,DSM_Paenibacillus polymyxa DSM 365_WGS_GCF_035323085.1.fasta,OR506152,成功,DSM_Paenibacillus polymyxa DSM 365_16S_OR506152.fasta
12,Azotobacter vinelandii DSM 366,DSM 366,ATCC 13705;DSM 366,,,,,,
12,Azotobacter chroococcum DSM 368,DSM 368,DSM 368,,,,,,
12,Azotobacter chroococcum DSM 369,DSM 369,DSM 369,,,,,,
12,Paenibacillus polymyxa DSM 372,DSM 372,DSM 372,,,,,,
12,Azotobacter beijerinckii DSM 373,DSM 373,DSM 373,GCF_900108885.1,成功,DSM_Azotobacter beijerinckii DSM 373_WGS_GCF_900108885.1.fasta,,,
12,Azotobacter chroococcum DSM 374,DSM 374,DSM 374,,,,,,
13,Azorhizophilus paspali DSM 376,DSM 376,DSM 376;ATCC 23367,,,,,,
13,Azotobacter chroococcum DSM 379,DSM 379,DSM 379,,,,OM319831,成功,DSM_Azotobacter chroococcum DSM 379_16S_OM319831.fasta
13,Azotobacter beijerinckii DSM 381,DSM 381,DSM 381,GCF_900114395.1,成功,DSM_Azotobacter beijerinckii DSM 381_WGS_GCF_900114395.1.fasta,,,
13,Azotobacter vinelandii DSM 382,DSM 382,DSM 382,,,,,,
13,Bacillus mycoides DSM 384,DSM 384,DSM 384,GCA_037914505.1,成功,DSM_Bacillus mycoides DSM 384_WGS_GCA_037914505.1.fasta,,,
13,Azorhizophilus paspali DSM 388,DSM 388,DSM 388,,,,,,
13,Azotobacter vinelandii DSM 389,DSM 389,DSM 389,,,,,,
13,Azotobacter vinelandii DSM 390,DSM 390,DSM 390,,,,,,
13,Azorhizophilus paspali DSM 391,DSM 391,DSM 391,,,,,,
13,Bacillus licheniformis DSM 392,DSM 392,DSM 392,GCF_030803925.1,成功,DSM_Bacillus licheniformis DSM 392_WGS_GCF_030803925.1.fasta,,,
13,Azotobacter chroococcum DSM 393,DSM 393,DSM 393,,,,PV577440,成功,DSM_Azotobacter chroococcum DSM 393_16S_PV577440.fasta
13,Bacillus licheniformis DSM 394,DSM 394,DSM 394,GCF_900107035.1,成功,DSM_Bacillus licheniformis DSM 394_WGS_GCF_900107035.1.fasta,,,
13,Azotobacter vinelandii DSM 395,DSM 395,DSM 395,,,,,,
13,Lysinibacillus sphaericus DSM 396,DSM 396,DSM 396;NCTC 9602,GCF_049534395.1,成功,DSM_Lysinibacillus sphaericus DSM 396_WGS_GCF_049534395.1.fasta,,,
13,Azotobacter chroococcum DSM 398,DSM 398,DSM 398,,,,,,
13,Azotobacter vinelandii DSM 399,DSM 399,DSM 399,,,,,,
13,Azorhizophilus paspali DSM 400,DSM 400,DSM 400,,,,,,
13,Bacillus subtilis DSM 402,DSM 402,NBRC 111470;DSM 402,GCA_037907405.1,成功,DSM_Bacillus subtilis DSM 402_WGS_GCA_037907405.1.fasta,,,
14,Paracoccus pantotrophus DSM 415,DSM 415,CCM 1396;DSM 415,GCF_900115985.1,成功,DSM_Paracoccus pantotrophus DSM 415_WGS_GCF_900115985.1.fasta,HG917908,成功,DSM_Paracoccus pantotrophus DSM 415_16S_HG917908.fasta
14,Cupriavidus necator DSM 416,DSM 416,DSM 416,GCA_036170675.1,成功,DSM_Cupriavidus necator DSM 416_WGS_GCA_036170675.1.fasta,,,
14,Cupriavidus necator DSM 418,DSM 418,DSM 418,,,,,,
14,Paenarthrobacter ureafaciens DSM 419,DSM 419,DSM 419,,,,,,
14,Cupriavidus necator DSM 422,DSM 422,DSM 422,,,,,,
14,Escherichia coli DSM 423,DSM 423,DSM 423,GCA_043932715.1,成功,DSM_Escherichia coli DSM 423_WGS_GCA_043932715.1.fasta,,,
14,Escherichia coli DSM 426,DSM 426,DSM 426,GCA_043932025.1,成功,DSM_Escherichia coli DSM 426_WGS_GCA_043932025.1.fasta,,,
14,Escherichia coli DSM 429,DSM 429,DSM 429,GCA_052950275.1,成功,DSM_Escherichia coli DSM 429_WGS_GCA_052950275.1.fasta,,,
14,Cupriavidus necator DSM 430,DSM 430,DSM 430,,,,,,
14,Brevibacterium iodinum DSM 433,DSM 433,DSM 433,GCA_020742095.1,成功,DSM_Brevibacterium iodinum DSM 433_WGS_GCA_020742095.1.fasta,,,
15,Myxococcus xanthus DSM 435,DSM 435,DSM 435,,,,,,
15,Pseudomonas putida DSM 437,DSM 437,ATCC 23974;DSM 437,GCF_028682545.1,成功,ATCC_Pseudomonas putida DSM 437_WGS_GCF_028682545.1.fasta,,,
15,Bacillus sp. DSM 445,DSM 445,DSM 445,GCF_021655195.1,成功,DSM_Bacillus sp. DSM 445_WGS_GCF_021655195.1.fasta,,,
15,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 448,DSM 448,DSM 448,,,,AB059670,成功,DSM_Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 448_16S_AB059670.fasta
15,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 449,DSM 449,DSM 449,,,,AB059671,成功,DSM_Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 449_16S_AB059671.fasta
15,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 451,DSM 451,DSM 451,,,,AB059672,成功,DSM_Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 451_16S_AB059672.fasta
15,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 452,DSM 452,DSM 452,,,,AB059673,成功,DSM_Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 452_16S_AB059673.fasta
15,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 454,DSM 454,DSM 454,GCF_001544355.1,成功,DSM_Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 454_WGS_GCF_001544355.1.fasta,AB059664,成功,DSM_Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 454_16S_AB059664.fasta
15,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 455,DSM 455,DSM 455,,,,AB059665,成功,DSM_Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 455_16S_AB059665.fasta
15,Geobacillus stearothermophilus DSM 456,DSM 456,DSM 456,,,,,,
15,Bacillus smithii DSM 459,DSM 459,DSM 459,GCF_036965845.1,成功,DSM_Bacillus smithii DSM 459_WGS_GCF_036965845.1.fasta,,,
15,Bacillus smithii DSM 460,DSM 460,DSM 460,GCF_001435755.1,成功,DSM_Bacillus smithii DSM 460_WGS_GCF_001435755.1.fasta,,,
16,Lysinibacillus sphaericus DSM 461,DSM 461,DSM 461,,,,,,
16,Lysinibacillus sphaericus DSM 462,DSM 462,DSM 462,,,,,,
16,Lysinibacillus sphaericus DSM 463,DSM 463,DSM 463,,,,,,
16,Geobacillus thermodenitrificans subsp. thermodenitrificans DSM 466,DSM 466,ATCC 29493;DSM 466,,,,,,
16,Rhodospirillum rubrum DSM 468,DSM 468,DSM 468,,,,,,
16,Zymomonas mobilis DSM 473,DSM 473,DSM 473;ATCC 29501,,,,,,
16,Cytobacillus sp. DSM 474,DSM 474,DSM 474,,,,,,
16,Cytobacillus sp. DSM 475,DSM 475,DSM 475,,,,,,
16,Cytobacillus sp. DSM 476,DSM 476,DSM 476,,,,,,
16,Bacillus sp. DSM 477,DSM 477,ATCC 29490;DSM 477;LMG 14466,GCF_039624015.1,成功,DSM_Bacillus sp. DSM 477_WGS_GCF_039624015.1.fasta,,,
16,Bacillus sp. DSM 478,DSM 478,DSM 478;LMG 14467,GCF_038593175.1,成功,DSM_Bacillus sp. DSM 478_WGS_GCF_038593175.1.fasta,,,
16,Bacillus sp. DSM 479,DSM 479,DSM 479,GCF_000832565.1,成功,DSM_Bacillus sp. DSM 479_WGS_GCF_000832565.1.fasta,,,
16,Bacillus sp. DSM 480,DSM 480,DSM 480,GCF_051046915.1,成功,DSM_Bacillus sp. DSM 480_WGS_GCF_051046915.1.fasta,,,
16,Bacillus sp. DSM 481,DSM 481,DSM 481,GCA_037907385.1,成功,DSM_Bacillus sp. DSM 481_WGS_GCA_037907385.1.fasta,,,
16,Bacillus sp. DSM 482,DSM 482,DSM 482,GCF_029748795.1,成功,DSM_Bacillus sp. DSM 482_WGS_GCF_029748795.1.fasta,,,
16,Caryophanon latum DSM 484,DSM 484,DSM 484,,,,,,
17,Paenibacillus macquariensis subsp. macquariensis DSM 489,DSM 489,LMG 13290;ATCC 23465;NCTC 10420;DSM 489,,,,,,
17,Virgibacillus pantothenticus DSM 490,DSM 490,DSM 490;LMG 12366;NCTC 8122,,,,,,
17,Virgibacillus pantothenticus DSM 491,DSM 491,NCTC 8124;DSM 491;LMG 12367,,,,,,
17,Lysinibacillus fusiformis DSM 493,DSM 493,DSM 493;NCTC 2608;ATCC 7054,,,,,,
17,Geobacillus stearothermophilus DSM 494,DSM 494,NCTC 10003;DSM 494,,,,,,
17,Escherichia coli DSM 498,DSM 498,CIP 110067;DSM 498;ATCC 23716,GCF_047499635.1,成功,CIP_Escherichia coli DSM 498_WGS_GCF_047499635.1.fasta,,,
17,Escherichia coli DSM 499,DSM 499,ATCC 23226;DSM 499,GCA_015116575.1,成功,ATCC_Escherichia coli DSM 499_WGS_GCA_015116575.1.fasta,,,
17,Escherichia coli DSM 500,DSM 500,DSM 500;ATCC 23227,GCF_051351685.1,成功,DSM_Escherichia coli DSM 500_WGS_GCF_051351685.1.fasta,,,
17,Escherichia coli DSM 501,DSM 501,ATCC 23224;DSM 501,GCF_977053835.1,成功,ATCC_Escherichia coli DSM 501_WGS_GCF_977053835.1.fasta,,,
17,Escherichia coli DSM 502,DSM 502,DSM 502,GCA_053265105.1,成功,DSM_Escherichia coli DSM 502_WGS_GCA_053265105.1.fasta,,,
17,Bacillus cereus DSM 508,DSM 508,DSM 508,GCF_038601465.1,成功,DSM_Bacillus cereus DSM 508_WGS_GCF_038601465.1.fasta,,,
17,Priestia megaterium DSM 509,DSM 509,CCM 1464;DSM 509;NBRC 12109,,,,,,
