原页码,菌株名称,JCM编号,BacDive链接,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
1460,Ligilactobacillus salivarius JCM 1044,1044,https://bacdive.dsmz.de/strain/160955,GCA_002079485,成功,Ligilactobacillus salivarius JCM 1044_WGS_GCA_002079485.fasta,AY137585,成功,Ligilactobacillus salivarius JCM 1044_16S_AY137585.fasta
1461,Ligilactobacillus salivarius JCM 1045,1045,https://bacdive.dsmz.de/strain/160956,GCA_002079465,成功,Ligilactobacillus salivarius JCM 1045_WGS_GCA_002079465.fasta,AY137586,成功,Ligilactobacillus salivarius JCM 1045_16S_AY137586.fasta
1461,Ligilactobacillus salivarius JCM 1046,1046,https://bacdive.dsmz.de/strain/160959,GCA_000758365,成功,Ligilactobacillus salivarius JCM 1046_WGS_GCA_000758365.fasta,AY137587,成功,Ligilactobacillus salivarius JCM 1046_16S_AY137587.fasta
1461,Ligilactobacillus salivarius JCM 1047,1047,https://bacdive.dsmz.de/strain/160960,GCA_002079425,成功,Ligilactobacillus salivarius JCM 1047_WGS_GCA_002079425.fasta,AY137588,成功,Ligilactobacillus salivarius JCM 1047_16S_AY137588.fasta
1461,Ligilactobacillus agilis JCM 1048,1048,https://bacdive.dsmz.de/strain/160961,N/A,N/A,,LC260015,成功,Ligilactobacillus agilis JCM 1048_16S_LC260015.fasta
1461,Ligilactobacillus agilis JCM 1049,1049,https://bacdive.dsmz.de/strain/160964,N/A,N/A,,LC260016,成功,Ligilactobacillus agilis JCM 1049_16S_LC260016.fasta
1461,Ligilactobacillus agilis JCM 1050,1050,https://bacdive.dsmz.de/strain/160967,N/A,N/A,,LC260017,成功,Ligilactobacillus agilis JCM 1050_16S_LC260017.fasta
1461,Lacticaseibacillus paracasei paracasei JCM 1053,1053,https://bacdive.dsmz.de/strain/160981,N/A,N/A,,AB289213,成功,Lacticaseibacillus paracasei paracasei JCM 1053_16S_AB289213.fasta
1461,Levilactobacillus brevis JCM 1061,1061,https://bacdive.dsmz.de/strain/137290,N/A,N/A,,AB289047,成功,Levilactobacillus brevis JCM 1061_16S_AB289047.fasta
1461,Lactobacillus helveticus JCM 1062,1062,https://bacdive.dsmz.de/strain/161004,GCA_015698205,成功,Lactobacillus helveticus JCM 1062_WGS_GCA_015698205.fasta,AB289153,成功,Lactobacillus helveticus JCM 1062_16S_AB289153.fasta
1461,Lactobacillus delbrueckii lactis JCM 1063,1063,https://bacdive.dsmz.de/strain/161008,N/A,N/A,,AB289088,成功,Lactobacillus delbrueckii lactis JCM 1063_16S_AB289088.fasta
1461,Weissella viridescens JCM 1064,1064,https://bacdive.dsmz.de/strain/138474,N/A,N/A,,LC269360,成功,Weissella viridescens JCM 1064_16S_LC269360.fasta
1461,Levilactobacillus brevis JCM 1065,1065,https://bacdive.dsmz.de/strain/161016,N/A,N/A,,AB289048,成功,Levilactobacillus brevis JCM 1065_16S_AB289048.fasta
1461,Levilactobacillus brevis JCM 1066,1066,https://bacdive.dsmz.de/strain/161017,N/A,N/A,,AB690242,成功,Levilactobacillus brevis JCM 1066_16S_AB690242.fasta
1461,Lentilactobacillus buchneri JCM 1068,1068,https://bacdive.dsmz.de/strain/161019,N/A,N/A,,AB289053,成功,Lentilactobacillus buchneri JCM 1068_16S_AB289053.fasta
1461,Lentilactobacillus buchneri JCM 1069,1069,https://bacdive.dsmz.de/strain/161020,N/A,N/A,,AB289054,成功,Lentilactobacillus buchneri JCM 1069_16S_AB289054.fasta
